xi-location	omega-scale	alpha-shape	nu-df	MCMCtree-calib	MCMCtree-calib-rounded
t_n115	0.088184528774047	0.0178947332601087	2.77939327320688	13.4722296294234	ST(0.088184528774047,0.0178947332601087,2.77939327320688,13.4722296294234)	ST(0.088,0.018,2.779,13.472)
t_n116	0.128238264135869	0.0239899746342074	2.54527459025843	18.2709539204479	ST(0.128238264135869,0.0239899746342074,2.54527459025843,18.2709539204479)	ST(0.128,0.024,2.545,18.271)
t_n117	0.0873915987986096	0.0223674606723628	3.54098150437668	121.474448888145	ST(0.0873915987986096,0.0223674606723628,3.54098150437668,121.474448888145)	ST(0.087,0.022,3.541,121.474)
t_n118	0.0421749820550578	0.0122672968775987	3.68677791545212	99.5286668219366	ST(0.0421749820550578,0.0122672968775987,3.68677791545212,99.5286668219366)	ST(0.042,0.012,3.687,99.529)
t_n119	0.0216028093383613	0.00660622860431002	3.65238458986254	76.2517539069358	ST(0.0216028093383613,0.00660622860431002,3.65238458986254,76.2517539069358)	ST(0.022,0.007,3.652,76.252)
t_n120	0.0100944325775016	0.00317011229466612	3.62241417715993	49.8368877749102	ST(0.0100944325775016,0.00317011229466612,3.62241417715993,49.8368877749102)	ST(0.01,0.003,3.622,49.837)
t_n121	0.656353524196635	0.00983787197954837	-1.63056887008825	56.994692332593	ST(0.656353524196635,0.00983787197954837,-1.63056887008825,56.994692332593)	ST(0.656,0.01,-1.631,56.995)
t_n122	0.551508684501648	0.0232510448896471	-3.02686962845783	9.1589289444731	ST(0.551508684501648,0.0232510448896471,-3.02686962845783,9.1589289444731)	ST(0.552,0.023,-3.027,9.159)
t_n123	0.380153697684898	0.0352409297456096	-1.42464126409241	18.9731879608417	ST(0.380153697684898,0.0352409297456096,-1.42464126409241,18.9731879608417)	ST(0.38,0.035,-1.425,18.973)
t_n124	0.625116481733068	0.0120815364217386	-1.85241065905436	136.302813323447	ST(0.625116481733068,0.0120815364217386,-1.85241065905436,136.302813323447)	ST(0.625,0.012,-1.852,136.303)
