Parsing alignment laurasiatheria_therest_nt12cp ... ... 
Length alignment: 198006
Number of taxa: 659
Taxon: crocidura_lasiura | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_lepidura | Num gaps: 196772 | Missing taxon?: N | % Missing data: 99.3767865620234
Taxon: crocidura_leucodon | Num gaps: 197466 | Missing taxon?: N | % Missing data: 99.7272809914851
Taxon: crocidura_levicula | Num gaps: 197438 | Missing taxon?: N | % Missing data: 99.7131400058584
Taxon: crocidura_luna | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_lusitania | Num gaps: 197426 | Missing taxon?: N | % Missing data: 99.707079583447
Taxon: crocidura_macmillani | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_malayana | Num gaps: 197466 | Missing taxon?: N | % Missing data: 99.7272809914851
Taxon: crocidura_mariquensis | Num gaps: 197418 | Missing taxon?: N | % Missing data: 99.7030393018393
Taxon: crocidura_maxi | Num gaps: 196948 | Missing taxon?: N | % Missing data: 99.4656727573912
Taxon: crocidura_mdumai | Num gaps: 197348 | Missing taxon?: N | % Missing data: 99.6676868377726
Taxon: crocidura_mindorus | Num gaps: 196766 | Missing taxon?: N | % Missing data: 99.3737563508177
Taxon: crocidura_miya | Num gaps: 197074 | Missing taxon?: N | % Missing data: 99.5293071927113
Taxon: crocidura_monacha | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_monax | Num gaps: 197346 | Missing taxon?: N | % Missing data: 99.6666767673707
Taxon: crocidura_monticola | Num gaps: 196950 | Missing taxon?: N | % Missing data: 99.4666828277931
Taxon: crocidura_munissii | Num gaps: 197350 | Missing taxon?: N | % Missing data: 99.6686969081745
Taxon: crocidura_muricauda | Num gaps: 197456 | Missing taxon?: N | % Missing data: 99.7222306394756
Taxon: crocidura_musseri | Num gaps: 197436 | Missing taxon?: N | % Missing data: 99.7121299354565
Taxon: crocidura_nanilla | Num gaps: 197464 | Missing taxon?: N | % Missing data: 99.7262709210832
Taxon: crocidura_neglecta | Num gaps: 196832 | Missing taxon?: N | % Missing data: 99.4070886740806
Taxon: crocidura_negligens | Num gaps: 197474 | Missing taxon?: N | % Missing data: 99.7313212730927
Taxon: crocidura_negrina | Num gaps: 196954 | Missing taxon?: N | % Missing data: 99.4687029685969
Taxon: crocidura_newmarki | Num gaps: 197618 | Missing taxon?: N | % Missing data: 99.80404634203
Taxon: crocidura_nigripes | Num gaps: 196808 | Missing taxon?: N | % Missing data: 99.3949678292577
Taxon: crocidura_nigripes_lipara | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_nimbae | Num gaps: 197460 | Missing taxon?: N | % Missing data: 99.7242507802794
Taxon: crocidura_nimbasilvanus | Num gaps: 197452 | Missing taxon?: N | % Missing data: 99.7202104986718
Taxon: crocidura_ninoyi | Num gaps: 197358 | Missing taxon?: N | % Missing data: 99.6727371897821
Taxon: crocidura_obscurior | Num gaps: 197418 | Missing taxon?: N | % Missing data: 99.7030393018393
Taxon: crocidura_olivieri | Num gaps: 197416 | Missing taxon?: N | % Missing data: 99.7020292314374
Taxon: crocidura_olivieri_cara | Num gaps: 197460 | Missing taxon?: N | % Missing data: 99.7242507802794
Taxon: crocidura_olivieri_giffardi | Num gaps: 197454 | Missing taxon?: N | % Missing data: 99.7212205690737
Taxon: crocidura_olivieri_kivu | Num gaps: 197446 | Missing taxon?: N | % Missing data: 99.717180287466
Taxon: crocidura_olivieri_spurelli | Num gaps: 197438 | Missing taxon?: N | % Missing data: 99.7131400058584
Taxon: crocidura_olivieri_sururae | Num gaps: 197464 | Missing taxon?: N | % Missing data: 99.7262709210832
Taxon: crocidura_orientalis | Num gaps: 196794 | Missing taxon?: N | % Missing data: 99.3878973364444
Taxon: crocidura_orientalis_lawuana~ | Num gaps: 197468 | Missing taxon?: N | % Missing data: 99.728291061887
Taxon: crocidura_orii | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_palawanensis | Num gaps: 197356 | Missing taxon?: N | % Missing data: 99.6717271193802
Taxon: crocidura_panayensis | Num gaps: 196954 | Missing taxon?: N | % Missing data: 99.4687029685969
Taxon: crocidura_paradoxura | Num gaps: 196788 | Missing taxon?: N | % Missing data: 99.3848671252386
Taxon: crocidura_parvipes | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_phanluongi | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_phuquocensis | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
Taxon: crocidura_poensis | Num gaps: 197456 | Missing taxon?: N | % Missing data: 99.7222306394756
Taxon: crocidura_rapax_kurodai | Num gaps: 196950 | Missing taxon?: N | % Missing data: 99.4666828277931
Taxon: crocidura_rhoditis | Num gaps: 197430 | Missing taxon?: N | % Missing data: 99.7090997242508
Taxon: crocidura_roosevelti | Num gaps: 197458 | Missing taxon?: N | % Missing data: 99.7232407098775
Taxon: crocidura_russula | Num gaps: 194848 | Missing taxon?: N | % Missing data: 98.4050988353888
Taxon: crocidura_shantungensis | Num gaps: 197462 | Missing taxon?: N | % Missing data: 99.7252608506813
Taxon: crocidura_sibirica~ | Num gaps: 198006 | Missing taxon?: Y | % Missing data: 100
