Tree,Rank,Name,Action,Outside_taxa,Change_from ,Change_to,Force_monophyletic,Reference,Note,,,,,,,,
Euarchonta,Species,Papio ursinus,No,N/A,N/A,N/A,No,Zinner et al. 2009,Similar arrangement observed by Zinner et al. 2009.,,,,,,,,
Euarchonta,Species,Cercopithecus cephus,No,N/A,N/A,N/A,No,Guschanski et al. 2013,Similar arrangement observed by Guschanski et al. 2013.,,,,,,,,
Euarchonta,Species,Cercopithecus albogularis,No,N/A,N/A,N/A,No,Guschanski et al. 2013,See Cercopithecus mitis.,,,,,,,,
Euarchonta,Species,Macaca mulatta,No,N/A,N/A,N/A,No,Huang et al. 2015,Similar arrangement observed by Huang et al. 2015.,,,,,,,,
Euarchonta,Species,Saguinus fuscicollis,No,N/A,N/A,N/A,No,Matauschek et al. 2011,Similar arrangement observed by Matauschek et al. 2011.,,,,,,,,
Euarchonta,Species,Ateles fusciceps,Yes,N/A,N/A,N/A,Yes,Moralez-Jimenez et al. 2015a and 2015b,A. fusciceps should form a monophyletic group.,,,,,,,,
Euarchonta,Species,Propithecus deckenii,Yes,N/A,propithecus_deckenii_coronatus,propithecus_coronatus,No,Groves and Helgen 2007,Changed species name.,,,,,,,,
Euarchonta,Species,Papio hamadryas,No,N/A,N/A,N/A,No,Roberts et al. 2010,Similar arrangement observed by Roberts et al. 2010.,,,,,,,,
Euarchonta,Species,Macaca nemestrina,Check,N/A,N/A,N/A,Yes,N/A,"Macaca nemestrina should group together. However, Macaca nemetrina, and Macaca nemestrina nemestrina are grouping totatly apart. Also, Macaca nemestrina nemestrina does not seem to be recognized anymore, as for now there is no subspecies for N. nemestrina (it used to have in the past).",,,,,,,,
Euarchonta,Species,Sapajus nigritus,Yes,N/A,sapajus_nigritus_robustus,sapajus_robustus,No,Lynch-Alfaro et al. 2012,Changed species name.,,,,,,,,
Euarchonta,Species,Loris tardigradus,Yes,N/A,loris_tardigradus_nordicus,loris_lydekkerianus_nordicus,No,Nekaris et al. 2008 IUCN,Changed species name.,,,,,,,,
Euarchonta,Species,Saimiri sciureus,No,N/A,N/A,N/A,No,Chiou et al. 2011,Similar arrangement observed by Chiou et al. 2011. ,,,,,,,,
Euarchonta,Species,Eulemur fulvus,Yes,N/A,eulemur_fulvus_albocollaris,eulemur_cinereiceps,No,Mittermier et al. 2008; Markolf ad Kappeler 2013; Johnson et al. 2008,Changed species name.,,,,,,,,
Euarchonta,Species,Eulemur fulvus,Yes,N/A,eulemur_fulvus_collaris,eulemur_collaris,No,Mittermier et al. 2008; Markolf ad Kappeler 2013; Johnson et al. 2009,Changed species name.,,,,,,,,
